price,speed,hd,ram,screen
1499,25,80,4,14
1795,33,85,2,14
1595,25,170,4,15
1849,25,170,8,14
3295,33,340,16,14
3695,66,340,16,14
1720,25,170,4,14
1995,50,85,2,14
2225,50,210,8,14
2575,50,210,4,15
2195,33,170,8,15
2605,66,210,8,14
2045,50,130,4,14
2295,25,245,8,14
2699,50,212,8,14
2225,50,130,4,14
1595,33,85,2,14
2325,33,210,4,15
2095,33,250,4,15
4395,66,452,8,14
1695,33,130,4,14
2795,66,130,4,14
2895,25,340,16,14
2875,50,210,4,17
4195,50,452,8,14
1290,33,80,2,14
1975,33,130,4,14
3995,33,452,8,14
3095,33,340,16,14
3244,66,245,8,14
1920,33,170,4,14
1995,25,130,4,14
2595,33,210,8,17
2475,50,210,4,15
1999,33,170,4,14
2675,66,210,4,15
2325,66,210,8,14
3795,66,500,8,14
2405,50,210,8,14
2425,50,210,8,14
2895,50,245,8,14
3895,66,500,8,15
2499,33,212,8,14
2255,33,210,8,14
3495,50,340,16,14
2695,33,245,8,14
2195,33,130,4,14
1749,25,120,4,14
2399,50,212,4,14
1995,33,250,4,14
2499,33,170,4,14
2395,33,130,4,14
2995,66,340,8,15
2190,33,210,4,14
2199,33,212,8,14
2125,50,130,4,14
2045,66,130,4,14
3075,66,210,4,17
2945,66,210,8,17
1945,50,130,4,14
3990,66,330,8,15
1795,33,170,4,15
2495,33,250,8,15
2220,33,250,4,14
2195,66,85,2,14
1495,25,170,4,14
2325,66,130,4,14
1499,25,120,4,14
2199,33,212,4,14
3095,66,245,8,14
4020,66,500,8,14
2725,33,210,4,17
1695,33,170,4,14
3044,50,245,8,14
2999,50,170,4,14
2844,33,245,8,14
1975,33,210,8,14
3220,66,340,8,15
2595,50,130,4,14
1629,25,80,8,14
3399,66,230,4,15
2495,33,245,8,14
2990,66,210,8,15
2720,33,250,8,15
2595,25,245,8,14
1999,33,120,8,14
2075,33,210,8,14
1795,33,130,4,14
1395,25,85,2,14
3490,50,330,8,14
2975,50,210,4,17
2145,66,130,4,14
2420,33,170,8,15
2505,50,210,8,14
2995,66,340,16,14
1495,25,170,4,14
1999,33,170,4,14
1920,33,170,4,14
2595,25,340,16,14
1695,33,170,4,14
1995,33,250,4,14
2195,25,245,8,14
1795,66,85,2,14
2999,66,330,4,15
1395,25,85,2,14
2995,66,250,8,17
2699,50,212,8,14
1720,25,170,4,14
2045,66,170,4,14
2145,66,170,4,14
2995,66,340,8,15
2095,33,130,4,14
3895,50,452,8,14
2895,50,340,16,14
1499,25,170,4,14
3165,66,250,4,17
2525,50,250,4,15
2325,66,250,8,14
2499,33,170,4,14
2799,33,230,4,14
1795,33,170,4,14
2199,33,210,4,14
2355,50,250,8,14
3220,66,340,8,15
2420,33,170,8,15
2544,33,245,8,14
2945,50,250,4,17
2295,33,245,8,14
1495,33,85,2,14
2065,50,170,4,14
2295,66,130,4,14
1799,25,170,4,14
2220,33,250,4,14
2075,50,170,4,14
1749,25,120,4,14
2195,25,245,8,14
2255,50,250,8,14
2395,33,250,4,15
2720,33,250,8,15
2195,50,130,4,14
2225,33,250,8,14
4020,66,500,8,14
2475,50,250,8,14
1975,50,170,4,14
3995,66,452,8,14
2595,66,245,8,14
2295,66,170,4,14
2199,33,212,4,14
1975,33,250,8,14
3895,66,500,8,15
2095,33,250,4,15
2225,33,250,8,15
3599,66,330,8,14
2075,33,250,8,14
2499,33,212,8,14
2575,66,250,8,15
2999,50,170,4,14
2195,33,170,8,15
3065,50,250,4,17
3399,66,230,4,15
1995,33,130,4,14
1595,25,170,4,15
2645,50,250,4,15
2345,50,250,8,14
2795,33,340,16,14
1895,25,130,4,14
2495,50,245,8,14
2599,50,210,4,14
1595,33,85,2,14
1999,33,120,8,14
2425,66,250,8,14
2495,33,250,8,15
1795,33,170,4,15
2744,66,245,8,14
3795,33,452,8,14
2745,66,250,4,15
2399,50,212,4,14
2645,33,250,8,17
1945,33,170,4,14
